project,category
aave-v2,money_market
aave-v3,money_market
across,bridge
aerodrome-slipstream,dex
aerodrome-v1,dex
angle,yield
arrakis-v1,yield
aura,yield
balancer-v2,dex
balancer-v3,dex
benqi-lending,money_market
benqi-staked-avax,liquid_staking
bifrost-liquid-staking,liquid_staking
binance-staked-eth,liquid_staking
binance-staked-sol,liquid_staking
camelot-v3,dex
cetus-amm,dex
coinbase-wrapped-staked-eth,liquid_staking
compound-v2,money_market
compound-v3,money_market
convex-finance,yield
curve-dex,dex
dolomite,dex
ethena-usde,yield
ether.fi-stake,liquid_staking
euler-v2,money_market
fluid-lending,money_market
flux-finance,money_market
folks-finance-lending,money_market
frax,yield
frax-ether,liquid_staking
fraxlend,money_market
gearbox,yield
gmx-v1,perps
gmx-v2-perps,perps
joe-v2.1,dex
jupiter-staked-sol,liquid_staking
justlend,money_market
kamino-lend,money_market
kamino-liquidity,dex
kelp,liquid_staking
liquid-collective,liquid_staking
liquity-v1,money_market
makerdao,money_market
marinade-liquid-staking,liquid_staking
meth-protocol,liquid_staking
morpho-aave,money_market
morpho-blue,money_market
navi-lending,money_market
notional-v3,yield
orca,dex
origin-ether,yield
osmosis-dex,dex
pendle,yield
raydium-amm,dex
renzo,liquid_staking
rocket-pool,liquid_staking
silo-v2,money_market
spark,money_market
spectra-v2,yield
stables-labs-usdx,yield
stader,liquid_staking
stakewise-v2,liquid_staking
sushiswap,dex
swell-liquid-restaking,liquid_staking
swell-liquid-staking,liquid_staking
thalaswap-v2,dex
uniswap-v2,dex
uniswap-v3,dex
usual,yield
velodrome-v2,dex
venus-core-pool,money_market
yearn-finance,yield
zerolend,money_market
lido-staking,liquid_staking
puffer,liquid_staking
